#options: 1080x1920 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=4 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=143928 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:P dur:2 cpbdur:2 q:0.00 aq:0.09 tex:378141 mv:19389 misc:4678 imb:34 pmb:2660 smb:5466 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:0.00 aq:0.10 tex:403373 mv:10988 misc:4191 imb:15 pmb:1712 smb:6433 d:- ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:2282999 mv:78242 misc:679 imb:3311 pmb:4831 smb:18 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:0.00 aq:1.05 tex:287089 mv:23548 misc:4363 imb:23 pmb:2762 smb:5375 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:578805 mv:19328 misc:4771 imb:67 pmb:2620 smb:5473 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:0.00 aq:0.02 tex:360361 mv:7549 misc:4210 imb:12 pmb:1512 smb:6636 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:353254 mv:15395 misc:4231 imb:21 pmb:2251 smb:5888 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:367062 mv:16250 misc:4392 imb:86 pmb:2193 smb:5881 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:0.00 aq:0.04 tex:309945 mv:13871 misc:4168 imb:63 pmb:1935 smb:6162 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:0.00 aq:0.02 tex:316336 mv:13214 misc:4226 imb:28 pmb:1964 smb:6168 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:0.00 aq:0.46 tex:314617 mv:9688 misc:3783 imb:16 pmb:1559 smb:6585 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:0.00 aq:0.09 tex:307479 mv:14520 misc:4465 imb:89 pmb:2060 smb:6011 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:0.00 aq:0.08 tex:344677 mv:13711 misc:4372 imb:98 pmb:1825 smb:6237 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:0.00 aq:0.19 tex:348466 mv:10363 misc:4027 imb:58 pmb:1631 smb:6471 d:- ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:2324643 mv:80223 misc:702 imb:3213 pmb:4931 smb:16 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:0.00 aq:1.11 tex:276204 mv:18325 misc:4463 imb:17 pmb:2445 smb:5698 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:0.00 aq:0.04 tex:670273 mv:14779 misc:4732 imb:57 pmb:2286 smb:5817 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:0.00 aq:0.06 tex:427172 mv:13102 misc:4134 imb:44 pmb:2046 smb:6070 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:0.00 aq:0.04 tex:382594 mv:14836 misc:4394 imb:53 pmb:2201 smb:5906 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:0.00 aq:0.05 tex:413646 mv:14942 misc:4604 imb:72 pmb:2192 smb:5896 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:0.00 aq:0.06 tex:348933 mv:8288 misc:4571 imb:33 pmb:1558 smb:6569 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:0.00 aq:0.05 tex:380462 mv:15510 misc:4644 imb:64 pmb:2188 smb:5908 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:350342 mv:12249 misc:4225 imb:39 pmb:1835 smb:6286 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:0.00 aq:0.06 tex:328803 mv:14380 misc:4289 imb:27 pmb:2100 smb:6033 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:0.00 aq:0.51 tex:309733 mv:8955 misc:4152 imb:53 pmb:1406 smb:6701 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:0.00 aq:0.09 tex:328296 mv:15754 misc:4414 imb:69 pmb:2152 smb:5939 d:- ref:0 ;
in:60 out:59 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:2481081 mv:81291 misc:628 imb:3007 pmb:5148 smb:5 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:0.00 aq:1.26 tex:293629 mv:14049 misc:4410 imb:23 pmb:2018 smb:6119 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:0.00 aq:0.45 tex:681335 mv:13043 misc:4654 imb:82 pmb:2107 smb:5971 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:0.00 aq:0.40 tex:454532 mv:13638 misc:4150 imb:89 pmb:2056 smb:6015 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:370486 mv:13710 misc:4148 imb:91 pmb:2008 smb:6061 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:0.00 aq:0.02 tex:339384 mv:16109 misc:4227 imb:34 pmb:2322 smb:5804 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:0.00 aq:0.01 tex:350326 mv:10333 misc:4429 imb:83 pmb:1585 smb:6492 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:0.00 aq:0.03 tex:287286 mv:7811 misc:4383 imb:67 pmb:1472 smb:6621 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:0.00 aq:0.02 tex:323915 mv:8483 misc:4146 imb:28 pmb:1572 smb:6560 d:- ref:0 ;
